"","Run","Path","Class"
"38","2fcb4d10-056b-4984-88ff-78070d54fb5d.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"39","576f1792-c90b-470e-b3e4-bad29d766993.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"40","9252a9f4-b138-4f2a-9787-c6ca0071356d.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"41","ace31d9c-08cd-4d54-98ab-1ae3937ea80a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"42","181db800-4d55-4096-8910-a6871da6ed38.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"43","d375e456-7e3f-4770-9b6f-3d4522172c07.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"44","316c4ea4-bc4d-4a41-9b62-b8248e68e821.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"45","8d2fe014-d503-4020-a671-6e8652a47a89.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"46","f13b7ef9-16d4-40b0-91c0-72b9b8ef1876.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"47","d670b047-a86c-4012-924c-8e702c7f0242.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"48","0494c913-b8d5-4c2a-8f60-630a17605612.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"49","46e7e923-009a-490c-8178-8150bfb2a331.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"50","662810c1-3b3f-47d7-af20-8b40646c6c1a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"51","d336faaf-9dfd-4357-85ac-f449987073af.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"52","af61697d-5228-4f84-9d20-b76c9a2b05e8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"53","56050b40-0992-41bb-bf05-f4cab2541940.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"54","05d00df8-fb92-4222-8af5-31b97867eb6f.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"55","8c23799f-7e71-407f-8628-3f9014527f64.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"56","ce9b38a7-fba0-4275-a6be-07ddbe76ce13.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"57","66053d7d-d3e1-417c-8fdc-6b4b69f50a04.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"58","4f601dad-46a5-4ee3-a92b-cc02fe348535.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"59","f9219836-0942-43f2-ad3a-f57cc48587ea.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"60","e870cd62-cce9-4376-b362-8c2a6911c3e3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"61","cc2aa323-62e0-40e1-b4f7-4d9d0dd026a2.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"62","0e100747-b7c4-448a-bba7-4576c190c51b.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"63","0c4d26bc-c4fb-4d6c-8331-9d5afcae11c7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"64","359f0995-1967-446f-886f-777455a919ae.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"65","8e322e13-da42-4ab3-a3ec-2cba24db4e45.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"66","91a3855d-2412-4f55-a689-b7584c6edc56.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"67","deacae6a-5f74-4a07-8ee7-5f378fa5ea41.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"68","c749c8ec-bfdb-4301-913d-2ddb115412fc.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"69","8be5f4a4-8300-47ba-836f-9b89ddfe7451.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"70","57b815ef-511a-4578-9fb5-277765b51f78.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"71","4d83e943-3bc9-4d25-8dd9-30bb003dbe23.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"72","e3c70a24-89fd-4fae-9329-be5b9b62d011.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"73","7bdb050e-b069-42ff-83d7-18cdf1765a76.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"74","208ff668-65ce-4d33-9882-4a7398ead4ac.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"75","b88ddc49-d868-4ec2-8fbc-8b2f3ef10e10.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"76","f3921234-d785-4609-8252-6af7188f0305.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"77","b772e521-4112-40b9-9aba-20506ba55d80.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"78","d2bc414b-8e94-4b67-a4e1-09c3936211e2.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"79","ee4848b0-9322-4dd5-a606-da0504bb9feb.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"80","6f65bc4e-1005-4a19-adc0-df28934a5533.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"81","a04dde26-7ff6-458d-a95b-cc363c50f732.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"82","4652439d-2d5a-4ee5-add6-22ccf4b21c75.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"83","4d72196f-5827-4ff1-b5da-f47946945de0.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"84","5f2a6bc7-0621-465a-a112-7f2be2ce6a51.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"85","3fb1b531-00c6-4f08-95c7-03de14c74f9a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"86","65f9ba2e-842f-475b-92c5-8867724871b4.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"87","4078cbdc-60c2-4d55-a2de-b497f3ee1a6e.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"88","ede222a6-1e2c-4a7f-9d47-8b8236b850e7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"89","1e1ad138-c8be-4eea-b3ba-7c63f0b6d041.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"90","e09ca29b-e860-41da-a470-4ea49886eefd.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"91","fabb2f09-5448-44d8-8927-f1f6b393df72.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"92","f76dbb11-d12e-4d89-b74b-042db70198f8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"93","2bc5c930-1436-42f9-bcd8-a8c120fec2cc.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"94","c3f1fbe9-4eb2-4312-8978-c8adf49c79b1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"95","33b6a36c-ee07-4481-ba24-701e84afb2a0.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"96","e11e5f44-1dfd-4c7d-b62b-fee9e7aa0183.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"97","f8b1834b-8ad8-4e12-9fdf-6f9ece739d89.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"98","eef3ce5b-8f0a-4ffa-936f-acd6ec32f7bd.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"99","f053a1a1-718a-46bd-a761-8ed3511aeb57.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"100","663222a0-bd8b-4084-9291-bb30472ddd86.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"101","ff024980-d908-476a-8f08-fac87e552c17.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"102","a2808b6e-0e20-482f-a47e-908a22d1b090.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"103","d0565292-d876-47c0-99ad-5f043463e94a.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"104","6ead2dc2-a880-4e71-b7c4-84f67b8261dc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"105","3aadf185-5bd9-4650-8704-4d09e84abcb3.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"106","f6257480-8e9f-4888-baf1-d7c3c49fe726.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"107","d898474b-c4fc-4a33-800b-0ccce8b4b755.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"108","db2fe7d9-93bc-40b3-b811-7c0765091e1e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"109","51dbe991-5483-417a-88af-68fe4852529d.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"110","1d3f60fe-7562-4ec5-8e90-c92367a51315.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"111","bfc01973-ba94-4395-9657-67f685896e43.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"112","8de5db06-e1a0-4d8c-a863-99de4db37ed3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"113","4d309823-4133-4120-b005-a3a3feda8cc6.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"114","59fc94d0-80d5-491b-90c2-cd1014b10bf7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"115","fbf93c94-a681-4690-b9fa-91fa7c6b5a49.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"116","129205b9-a338-4a59-bab4-af8b6ef4b527.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"117","9d815e47-1295-4fe5-b3b5-ff8d5b225146.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"118","135e6f87-7226-4b93-b69c-d2a202ae2256.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"119","9fe39c63-70f3-4847-9b72-094d237d2ed3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"120","b7a5e6a9-ae8e-4775-843d-1d46a2d8f6f4.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"121","859df306-00fa-496e-8c6a-6bd30f7f7eda.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"122","a7a87d48-b0ed-423a-939a-15803f9199c6.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"123","ea23253b-fbd6-46ae-b6e2-3c2215e9c361.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"124","228ded1a-9ae5-421d-9b58-8ae4176e56db.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"125","89f14b9e-9c4c-42a6-a5d4-a319ea174a61.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"126","b1883b15-b002-43c1-a94c-bb68d6ff3091.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"127","b8d729a4-658d-49c7-b6c1-3490041ad3e1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"128","1b510034-1cfa-4aee-bd5f-789ec8831d73.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"129","ee33c2fd-140b-4b4c-8820-f711facc6b4c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"130","e1d7e8ca-0ae6-4d23-a4c1-da0a95694e09.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"131","fa6cbac9-99c4-409c-95e5-67e5cd379e14.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"132","d47da43f-808f-4ec6-8d22-a4b822788d62.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"133","c5920a42-94c9-406e-8a8c-dcb447a47b42.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"134","259873af-f1b8-4876-be24-dcd1f0aab471.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"135","b9a7db1a-8501-4311-955d-880b6365ab81.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"136","e9d79c15-fa59-4298-bb5d-0f3d4b17ed4e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"137","a2ff9439-e753-48d0-b6be-6eb63ee0f894.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"138","54355c40-c4ef-4491-ad65-9bb247f34b23.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"139","536b7467-f306-49f6-99a7-57707472c09e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"140","a498b07f-0943-476e-80ca-9a1c1c95ef5e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"141","63258e05-fab4-480e-8a21-67c0a3db17b0.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"142","105f6178-8705-40da-9255-21e1780eeaf6.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"143","2f3ff7b4-e7fd-452d-9df3-5e9ed23914e0.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"144","90240d0c-19a9-4b3c-9232-f40a9fbefda3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"145","e237125e-4320-4b06-a24d-26663b5abaaf.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"146","402d7ff6-52bf-437a-8bb1-70673bc40e9f.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"147","512cc486-2b78-4e5d-9434-c2649db9ffcc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"148","64189146-d3af-4501-a524-e11ddd0f437c.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"149","672ecb8d-85fb-43ab-8db8-811f35393aa8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"150","bbdce850-0d25-4fa0-bdbc-feaabedca009.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"151","9b04b323-eb6b-46c3-af66-437d4254ac83.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"152","ae140c66-a2ec-4b60-811e-b159d49cbf13.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"153","29a960dc-fadc-443c-a093-7e1344a3800b.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"154","fa0dcd33-2f40-4575-a78b-73c319b1746e.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"155","5b408245-eb57-4b50-aa26-2648651dfec4.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"156","36df1baa-1477-4192-a6f1-51585f29f6b2.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"157","a1090d5e-cf60-4832-9386-a5d386d65aab.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"158","dcb993fe-8783-49c4-9aab-dc18d8caee49.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"159","38717e08-9b6c-4b11-a9ee-505b7310e34c.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"160","9c8c7ba1-07bd-44c2-8c2f-e109532d2b08.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"161","eb6254be-5992-43ab-8e4c-c33bd7951e46.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"162","83089602-59a1-47d7-958a-eceab335affc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"163","63f1fd15-a4d1-434c-85e7-a8ec6380c693.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"164","28470aea-f0ed-4fcf-8cab-808e974a7ad3.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"165","c43d1b47-a76c-40d3-90ce-6e34f1756ce8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"166","75f58afe-0b42-4b7f-873e-a0a4d77904f3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"167","843f0cc6-cd74-4af8-be28-5fb02b532269.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"168","b5b4f110-4e89-4c1b-a747-922534395f9d.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"169","e8885025-bb9d-4905-a0ac-d42cbc3a904a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"170","8190fe88-f3d5-459e-924b-79fb2994c999.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"171","18ff543e-4ee2-4a43-98ad-1bfd79b92e73.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"172","1bc26e0a-a6c0-4a8b-93b5-d2a90ee9b7f5.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"173","1cf6659a-3b7f-4153-a1c1-20e6a8f677e4.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"174","21f29efe-cdbb-4fd0-b679-e803aef3a6f9.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"175","8506a600-af4a-4d30-976b-591152d1c813.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"176","cdb59636-566c-4e0b-8f0d-2d204d8dbf9d.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"177","c1778dc3-78a1-4e35-aae1-d04e48bcc2ee.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"178","fcbf7dff-e696-461b-b886-933a0f9d66a8.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"179","c35f59a6-8c50-4435-8310-7f410d4429f3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"180","323c799d-9f7a-4bbc-a3d1-2383d49463da.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"181","9b43ea45-54a2-4bf8-8089-1f623c7143fe.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"182","a3899b6f-f603-45d7-bea4-86e8f99c9e4a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"183","e72182ac-29cf-416c-8004-11a8d814a706.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"184","74a6cd3d-a6e4-49c6-a547-eeadf7fbb61a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"185","8c50f402-e95c-446f-8618-160da3606aa3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"186","0406d0f2-5c89-4aac-9ade-4c001eeaaaf6.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"187","bdaf1e4a-461f-45d7-8ed3-547e2a59d3a7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"188","f87bc84c-1f83-4a36-99c8-40de479ab978.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"189","14980c69-16d2-40c8-916b-b341f6bc606d.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"190","288f78d3-88af-4860-b187-cf187db3caec.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"191","5f8a7456-4c0d-451f-abe7-efcb71d6f672.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"192","df26e441-52f8-4fee-bbac-0a140fd71cd1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"193","6a32d3f8-246f-45ce-a9ac-cc8dcaeabfd0.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"194","0364a08e-2940-4528-87c0-5351e6158713.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"195","9619c01d-9695-4cb7-935c-c7cd68a0379b.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"196","1fc94fdd-fe68-483d-9c1b-b7d8d2959a4a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"197","ddc24413-bac7-4fe5-9eee-716e2163a5aa.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"198","f10e7d44-0f2d-45f6-bba9-61df65668d8b.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"199","20af5f64-f766-4930-bb97-b337847c8244.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"200","47990394-36a3-4cdf-a6c6-8d9d78bac5b1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"201","9fa0b09b-fbe5-4aab-a3f5-33fd3e3a680d.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"202","c935c617-fc13-4aca-b571-76084f9f7762.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"203","8085d4b1-43a3-453c-ab23-eba1f515f4a9.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"204","a9bdab2d-a002-4983-bfa4-4a3aa0a3c690.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"205","a3f6900a-bc61-4b7c-a5ed-2448c33bf54a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"206","e351dc80-bb7e-4e99-8cdd-8c2a01bbae80.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"207","0915bd7f-dc1d-4a99-89b7-f897986a67ea.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"208","55fbf73d-c1c2-4b02-935d-6aea9c163edf.rna_seq.augmented_star_gene_counts.counts","brain/counts","mixed_glioma"
"209","4f5fe1be-89dd-4249-a209-0d919b9cb669.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"210","be6180fa-956f-4b32-864e-ed4d4dff7a21.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"211","cf5c9e51-03f4-4b7d-886e-67a780ab62c2.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
