"","Run","Path","Class"
"38","0494c913-b8d5-4c2a-8f60-630a17605612.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"39","662810c1-3b3f-47d7-af20-8b40646c6c1a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"40","d336faaf-9dfd-4357-85ac-f449987073af.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"41","af61697d-5228-4f84-9d20-b76c9a2b05e8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"42","56050b40-0992-41bb-bf05-f4cab2541940.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"43","05d00df8-fb92-4222-8af5-31b97867eb6f.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"44","8c23799f-7e71-407f-8628-3f9014527f64.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"45","ce9b38a7-fba0-4275-a6be-07ddbe76ce13.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"46","66053d7d-d3e1-417c-8fdc-6b4b69f50a04.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"47","f9219836-0942-43f2-ad3a-f57cc48587ea.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"48","e870cd62-cce9-4376-b362-8c2a6911c3e3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"49","cc2aa323-62e0-40e1-b4f7-4d9d0dd026a2.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"50","0e100747-b7c4-448a-bba7-4576c190c51b.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"51","0c4d26bc-c4fb-4d6c-8331-9d5afcae11c7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"52","359f0995-1967-446f-886f-777455a919ae.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"53","91a3855d-2412-4f55-a689-b7584c6edc56.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"54","deacae6a-5f74-4a07-8ee7-5f378fa5ea41.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"55","c749c8ec-bfdb-4301-913d-2ddb115412fc.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"56","8be5f4a4-8300-47ba-836f-9b89ddfe7451.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"57","57b815ef-511a-4578-9fb5-277765b51f78.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"58","4d83e943-3bc9-4d25-8dd9-30bb003dbe23.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"59","7bdb050e-b069-42ff-83d7-18cdf1765a76.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"60","208ff668-65ce-4d33-9882-4a7398ead4ac.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"61","f3921234-d785-4609-8252-6af7188f0305.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"62","ee4848b0-9322-4dd5-a606-da0504bb9feb.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"63","6f65bc4e-1005-4a19-adc0-df28934a5533.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"64","4652439d-2d5a-4ee5-add6-22ccf4b21c75.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"65","4d72196f-5827-4ff1-b5da-f47946945de0.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"66","5f2a6bc7-0621-465a-a112-7f2be2ce6a51.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"67","3fb1b531-00c6-4f08-95c7-03de14c74f9a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"68","65f9ba2e-842f-475b-92c5-8867724871b4.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"69","4078cbdc-60c2-4d55-a2de-b497f3ee1a6e.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"70","ede222a6-1e2c-4a7f-9d47-8b8236b850e7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"71","1e1ad138-c8be-4eea-b3ba-7c63f0b6d041.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"72","e09ca29b-e860-41da-a470-4ea49886eefd.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"73","fabb2f09-5448-44d8-8927-f1f6b393df72.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"74","f76dbb11-d12e-4d89-b74b-042db70198f8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"75","2bc5c930-1436-42f9-bcd8-a8c120fec2cc.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"76","c3f1fbe9-4eb2-4312-8978-c8adf49c79b1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"77","33b6a36c-ee07-4481-ba24-701e84afb2a0.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"78","e11e5f44-1dfd-4c7d-b62b-fee9e7aa0183.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"79","f8b1834b-8ad8-4e12-9fdf-6f9ece739d89.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"80","eef3ce5b-8f0a-4ffa-936f-acd6ec32f7bd.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"81","f053a1a1-718a-46bd-a761-8ed3511aeb57.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"82","663222a0-bd8b-4084-9291-bb30472ddd86.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"83","a2808b6e-0e20-482f-a47e-908a22d1b090.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"84","6ead2dc2-a880-4e71-b7c4-84f67b8261dc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"85","3aadf185-5bd9-4650-8704-4d09e84abcb3.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"86","f6257480-8e9f-4888-baf1-d7c3c49fe726.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"87","db2fe7d9-93bc-40b3-b811-7c0765091e1e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"88","51dbe991-5483-417a-88af-68fe4852529d.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"89","1d3f60fe-7562-4ec5-8e90-c92367a51315.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"90","8de5db06-e1a0-4d8c-a863-99de4db37ed3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"91","4d309823-4133-4120-b005-a3a3feda8cc6.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"92","59fc94d0-80d5-491b-90c2-cd1014b10bf7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"93","fbf93c94-a681-4690-b9fa-91fa7c6b5a49.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"94","9d815e47-1295-4fe5-b3b5-ff8d5b225146.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"95","9fe39c63-70f3-4847-9b72-094d237d2ed3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"96","b7a5e6a9-ae8e-4775-843d-1d46a2d8f6f4.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"97","859df306-00fa-496e-8c6a-6bd30f7f7eda.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"98","228ded1a-9ae5-421d-9b58-8ae4176e56db.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"99","89f14b9e-9c4c-42a6-a5d4-a319ea174a61.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"100","b1883b15-b002-43c1-a94c-bb68d6ff3091.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"101","b8d729a4-658d-49c7-b6c1-3490041ad3e1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"102","ee33c2fd-140b-4b4c-8820-f711facc6b4c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"103","fa6cbac9-99c4-409c-95e5-67e5cd379e14.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"104","d47da43f-808f-4ec6-8d22-a4b822788d62.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"105","c5920a42-94c9-406e-8a8c-dcb447a47b42.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"106","259873af-f1b8-4876-be24-dcd1f0aab471.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"107","b9a7db1a-8501-4311-955d-880b6365ab81.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"108","e9d79c15-fa59-4298-bb5d-0f3d4b17ed4e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"109","a2ff9439-e753-48d0-b6be-6eb63ee0f894.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"110","54355c40-c4ef-4491-ad65-9bb247f34b23.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"111","536b7467-f306-49f6-99a7-57707472c09e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"112","a498b07f-0943-476e-80ca-9a1c1c95ef5e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"113","63258e05-fab4-480e-8a21-67c0a3db17b0.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"114","2f3ff7b4-e7fd-452d-9df3-5e9ed23914e0.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"115","90240d0c-19a9-4b3c-9232-f40a9fbefda3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"116","402d7ff6-52bf-437a-8bb1-70673bc40e9f.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"117","512cc486-2b78-4e5d-9434-c2649db9ffcc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"118","64189146-d3af-4501-a524-e11ddd0f437c.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"119","672ecb8d-85fb-43ab-8db8-811f35393aa8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"120","ae140c66-a2ec-4b60-811e-b159d49cbf13.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"121","29a960dc-fadc-443c-a093-7e1344a3800b.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"122","36df1baa-1477-4192-a6f1-51585f29f6b2.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"123","dcb993fe-8783-49c4-9aab-dc18d8caee49.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"124","38717e08-9b6c-4b11-a9ee-505b7310e34c.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"125","eb6254be-5992-43ab-8e4c-c33bd7951e46.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"126","83089602-59a1-47d7-958a-eceab335affc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"127","63f1fd15-a4d1-434c-85e7-a8ec6380c693.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"128","28470aea-f0ed-4fcf-8cab-808e974a7ad3.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"129","c43d1b47-a76c-40d3-90ce-6e34f1756ce8.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"130","75f58afe-0b42-4b7f-873e-a0a4d77904f3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"131","843f0cc6-cd74-4af8-be28-5fb02b532269.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"132","e8885025-bb9d-4905-a0ac-d42cbc3a904a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"133","8190fe88-f3d5-459e-924b-79fb2994c999.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"134","18ff543e-4ee2-4a43-98ad-1bfd79b92e73.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"135","1bc26e0a-a6c0-4a8b-93b5-d2a90ee9b7f5.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"136","1cf6659a-3b7f-4153-a1c1-20e6a8f677e4.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"137","21f29efe-cdbb-4fd0-b679-e803aef3a6f9.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"138","8506a600-af4a-4d30-976b-591152d1c813.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"139","cdb59636-566c-4e0b-8f0d-2d204d8dbf9d.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"140","c1778dc3-78a1-4e35-aae1-d04e48bcc2ee.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"141","fcbf7dff-e696-461b-b886-933a0f9d66a8.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"142","c35f59a6-8c50-4435-8310-7f410d4429f3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"143","323c799d-9f7a-4bbc-a3d1-2383d49463da.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"144","9b43ea45-54a2-4bf8-8089-1f623c7143fe.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"145","a3899b6f-f603-45d7-bea4-86e8f99c9e4a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"146","e72182ac-29cf-416c-8004-11a8d814a706.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"147","74a6cd3d-a6e4-49c6-a547-eeadf7fbb61a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"148","8c50f402-e95c-446f-8618-160da3606aa3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"149","0406d0f2-5c89-4aac-9ade-4c001eeaaaf6.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"150","bdaf1e4a-461f-45d7-8ed3-547e2a59d3a7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"151","f87bc84c-1f83-4a36-99c8-40de479ab978.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"152","14980c69-16d2-40c8-916b-b341f6bc606d.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"153","288f78d3-88af-4860-b187-cf187db3caec.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"154","5f8a7456-4c0d-451f-abe7-efcb71d6f672.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"155","df26e441-52f8-4fee-bbac-0a140fd71cd1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"156","6a32d3f8-246f-45ce-a9ac-cc8dcaeabfd0.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"157","9619c01d-9695-4cb7-935c-c7cd68a0379b.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"158","1fc94fdd-fe68-483d-9c1b-b7d8d2959a4a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"159","ddc24413-bac7-4fe5-9eee-716e2163a5aa.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"160","f10e7d44-0f2d-45f6-bba9-61df65668d8b.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"161","20af5f64-f766-4930-bb97-b337847c8244.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"162","47990394-36a3-4cdf-a6c6-8d9d78bac5b1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"163","a9bdab2d-a002-4983-bfa4-4a3aa0a3c690.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"164","a3f6900a-bc61-4b7c-a5ed-2448c33bf54a.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"165","e351dc80-bb7e-4e99-8cdd-8c2a01bbae80.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"166","0915bd7f-dc1d-4a99-89b7-f897986a67ea.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"167","4f5fe1be-89dd-4249-a209-0d919b9cb669.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"168","be6180fa-956f-4b32-864e-ed4d4dff7a21.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"169","cf5c9e51-03f4-4b7d-886e-67a780ab62c2.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"170","d2d64712-def8-4ca4-8a93-56dffd69df03.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"171","e7e63873-0099-474a-94b1-160a155c1ea3.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"172","41da41b9-2586-4981-aeee-ae3867f6d316.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"173","de906204-59b0-4249-968f-7cd4d47481aa.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"174","8e329b0e-f4bb-4bae-bd28-5e9ddee6eaa7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"175","0a6bea9f-a111-4bc2-80e2-c3a08d2d302e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"176","862383b0-7b9f-4ed0-bfe8-0771668f4ffc.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"177","64370d1e-6575-42ea-a00d-e920553ea6c2.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"178","e3d28a69-cac2-4bbe-897f-6b4369379713.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"179","de01156d-97cd-49ac-828d-d1996781edd5.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"180","5cfc43cc-627e-452e-a3ff-8a10e20054eb.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"181","77d05e76-bdff-4082-bb39-246feb0950dc.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"182","ac53892b-10cf-4b36-9bec-9bd28ea8fbbf.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"183","36d3fb87-5b5e-4809-bd08-560a553168a3.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"184","b476a832-59e6-4ebf-9e58-4d86b9dce617.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"185","008e5b39-aa42-45e9-98bf-6a180cde10bc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"186","9c6f4387-bf55-49f6-839a-0d67a9af7085.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"187","579e9523-15ca-4173-af81-4b8949d8ac22.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"188","859597b6-4fe8-44b1-a023-6978b7aea037.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"189","915fa984-e320-4db8-85e8-1ed98435ec16.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"190","3c09ed01-2abe-4800-b537-2f65ad3206b4.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"191","4205fd72-6678-41d6-8059-2db00867a92a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"192","687293b9-b030-4909-a076-435efff554d1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"193","876a1b2f-d990-4fcd-a93f-f4ecc6e8e102.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"194","bb30dbdb-f1af-4fa1-87eb-9eaf5cff45b0.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"195","90feb95e-3dbe-4d9e-9fb9-c72f8359913a.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"196","52fe8f1b-e67c-488d-8a2c-ce33de66e66f.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"197","7461d3c9-6e68-42cd-ab5e-858c6828affc.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"198","9ae0538e-74ab-47a7-a4b9-ff91e26df749.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"199","972ce08b-3d70-4e63-a572-b722905d6b4c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"200","21c49ffc-429d-40ca-abd6-3ef0fa656bc4.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"201","b7634862-3aa1-4230-8308-c944c3cee1e7.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"202","3c134b22-4ca2-475e-b2a8-e3886e7fccdf.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"203","196e79f2-8acd-44ec-979d-f08dea3baedb.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"204","3aad5f07-6241-4397-a91c-b412bfcf56fc.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"205","6ddac922-5614-4e0d-b2e4-c063f120f424.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"206","d3d2ec30-27e8-4482-bab9-c13c67411bc1.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"207","55ee2877-f53c-4d55-82ee-7d6478c4baaa.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"208","814d0623-7f75-489b-9297-7b2e0f02160c.rna_seq.augmented_star_gene_counts.counts","brain/counts","astrocytoma"
"209","2bff4b49-c2f0-4fba-8071-8c7c0f7a950e.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
"210","10b88a94-0910-4af9-af4b-3c4c26b279c7.rna_seq.augmented_star_gene_counts.counts","brain/counts","oligodendroglioma"
